Vandportalen - www.vandportalen.dk
Lokalitet:;38.05 Ribe å, Kammerslusen indvendig
Tidsserie:;Vandstand
Drives af Esbjerg Kommune
Dataperiode:;19-01-2025 00:00 - 21-01-2025 00:59 ( UTC +01:00:00 )
Vandstandsskala nulpunkt kote:;-0.07 m DVR90
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;20-01-2025 14:28

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandstand (m DVR90);ks mrk.
19-01-2025 13:45;-0.481;0
19-01-2025 13:50;-0.475;0
19-01-2025 13:55;-0.465;0
19-01-2025 14:00;-0.449;0
19-01-2025 14:05;-0.426;0
19-01-2025 14:10;-0.397;0
19-01-2025 14:15;-0.363;0
19-01-2025 14:20;-0.330;0
19-01-2025 14:25;-0.297;0
19-01-2025 14:30;-0.263;0
19-01-2025 14:35;-0.232;0
19-01-2025 14:40;-0.196;0
19-01-2025 14:45;-0.162;0
19-01-2025 14:50;-0.179;0
19-01-2025 14:55;-0.161;0
19-01-2025 15:00;-0.125;0
19-01-2025 15:05;-0.123;0
19-01-2025 15:10;-0.098;0
19-01-2025 15:15;-0.075;0
19-01-2025 15:20;-0.062;0
19-01-2025 15:25;-0.050;0
19-01-2025 15:30;-0.034;0
19-01-2025 15:35;-0.020;0
19-01-2025 15:40;-0.004;0
19-01-2025 15:45;0.011;0
19-01-2025 15:50;0.025;0
19-01-2025 15:55;0.038;0
19-01-2025 16:00;0.051;0
19-01-2025 16:05;0.064;0
19-01-2025 16:10;0.077;0
19-01-2025 16:15;0.090;0
19-01-2025 16:20;0.102;0
19-01-2025 16:25;0.113;0
19-01-2025 16:30;0.126;0
19-01-2025 16:35;0.137;0
19-01-2025 16:40;0.149;0
19-01-2025 16:45;0.160;0
19-01-2025 16:50;0.172;0
19-01-2025 16:55;0.183;0
19-01-2025 17:00;0.193;0
19-01-2025 17:05;0.204;0
19-01-2025 17:10;0.214;0
19-01-2025 17:15;0.225;0
19-01-2025 17:20;0.235;0
19-01-2025 17:25;0.245;0
19-01-2025 17:30;0.255;0
19-01-2025 17:35;0.265;0
19-01-2025 17:40;0.275;0
19-01-2025 17:45;0.284;0
19-01-2025 17:50;0.293;0
19-01-2025 17:55;0.303;0
19-01-2025 18:00;0.313;0
19-01-2025 18:05;0.322;0
19-01-2025 18:10;0.331;0
19-01-2025 18:15;0.341;0
19-01-2025 18:20;0.349;0
19-01-2025 18:25;0.358;0
19-01-2025 18:30;0.367;0
19-01-2025 18:35;0.376;0
19-01-2025 18:40;0.384;0
19-01-2025 18:45;0.393;0
19-01-2025 18:50;0.402;0
19-01-2025 18:55;0.409;0
19-01-2025 19:00;0.417;0
19-01-2025 19:05;0.425;0
19-01-2025 19:10;0.433;0
19-01-2025 19:15;0.441;0
19-01-2025 19:20;0.450;0
19-01-2025 19:25;0.457;0
19-01-2025 19:30;0.465;0
19-01-2025 19:35;0.473;0
19-01-2025 19:40;0.480;0
19-01-2025 19:45;0.488;0
19-01-2025 19:50;0.494;0
19-01-2025 19:55;0.499;0
19-01-2025 20:00;0.491;0
19-01-2025 20:05;0.480;0
19-01-2025 20:10;0.470;0
19-01-2025 20:15;0.460;0
19-01-2025 20:20;0.450;0
19-01-2025 20:25;0.435;0
19-01-2025 20:30;0.419;0
19-01-2025 20:35;0.402;0
19-01-2025 20:40;0.386;0
19-01-2025 20:45;0.369;0
19-01-2025 20:50;0.352;0
19-01-2025 20:55;0.334;0
19-01-2025 21:00;0.314;0
19-01-2025 21:05;0.296;0
19-01-2025 21:10;0.272;0
19-01-2025 21:15;0.251;0
19-01-2025 21:20;0.232;0
19-01-2025 21:25;0.212;0
19-01-2025 21:30;0.188;0
19-01-2025 21:35;0.166;0
19-01-2025 21:40;0.145;0
19-01-2025 21:45;0.122;0
19-01-2025 21:50;0.103;0
19-01-2025 21:55;0.085;0
19-01-2025 22:00;0.062;0
19-01-2025 22:05;0.044;0
19-01-2025 22:10;0.027;0
19-01-2025 22:15;0.011;0
19-01-2025 22:20;-0.008;0
19-01-2025 22:25;-0.024;0
19-01-2025 22:30;-0.042;0
19-01-2025 22:35;-0.058;0
19-01-2025 22:40;-0.074;0
19-01-2025 22:45;-0.093;0
19-01-2025 22:50;-0.109;0
19-01-2025 22:55;-0.128;0
19-01-2025 23:00;-0.141;0
19-01-2025 23:05;-0.157;0
19-01-2025 23:10;-0.173;0
19-01-2025 23:15;-0.186;0
19-01-2025 23:20;-0.203;0
19-01-2025 23:25;-0.220;0
19-01-2025 23:30;-0.231;0
19-01-2025 23:35;-0.248;0
19-01-2025 23:40;-0.264;0
19-01-2025 23:45;-0.275;0
19-01-2025 23:50;-0.288;0
19-01-2025 23:55;-0.301;0
20-01-2025 00:00;-0.313;0
20-01-2025 00:05;-0.325;0
20-01-2025 00:10;-0.336;0
20-01-2025 00:15;-0.347;0
20-01-2025 00:20;-0.360;0
20-01-2025 00:25;-0.370;0
20-01-2025 00:30;-0.381;0
20-01-2025 00:35;-0.390;0
20-01-2025 00:40;-0.400;0
20-01-2025 00:45;-0.413;0
20-01-2025 00:50;-0.418;0
20-01-2025 00:55;-0.427;0
20-01-2025 01:00;-0.435;0
20-01-2025 01:05;-0.446;0
20-01-2025 01:10;-0.453;0
20-01-2025 01:15;-0.462;0
20-01-2025 01:20;-0.471;0
20-01-2025 01:25;-0.475;0
20-01-2025 01:30;-0.483;0
20-01-2025 01:35;-0.486;0
20-01-2025 01:40;-0.488;0
20-01-2025 01:45;-0.484;0
20-01-2025 01:50;-0.476;0
20-01-2025 01:55;-0.460;0
20-01-2025 02:00;-0.433;0
20-01-2025 02:05;-0.398;0
20-01-2025 02:10;-0.358;0
20-01-2025 02:15;-0.315;0
20-01-2025 02:20;-0.272;0
20-01-2025 02:25;-0.229;0
20-01-2025 02:30;-0.190;0
20-01-2025 02:35;-0.216;0
20-01-2025 02:40;-0.197;0
20-01-2025 02:45;-0.161;0
20-01-2025 02:50;-0.156;0
20-01-2025 02:55;-0.134;0
20-01-2025 03:00;-0.108;0
20-01-2025 03:05;-0.098;0
20-01-2025 03:10;-0.082;0
20-01-2025 03:15;-0.066;0
20-01-2025 03:20;-0.052;0
20-01-2025 03:25;-0.036;0
20-01-2025 03:30;-0.022;0
20-01-2025 03:35;-0.008;0
20-01-2025 03:40;0.006;0
20-01-2025 03:45;0.019;0
20-01-2025 03:50;0.034;0
20-01-2025 03:55;0.046;0
20-01-2025 04:00;0.060;0
20-01-2025 04:05;0.072;0
20-01-2025 04:10;0.084;0
20-01-2025 04:15;0.096;0
20-01-2025 04:20;0.108;0
20-01-2025 04:25;0.119;0
20-01-2025 04:30;0.131;0
20-01-2025 04:35;0.142;0
20-01-2025 04:40;0.153;0
20-01-2025 04:45;0.165;0
20-01-2025 04:50;0.175;0
20-01-2025 04:55;0.185;0
20-01-2025 05:00;0.197;0
20-01-2025 05:05;0.207;0
20-01-2025 05:10;0.217;0
20-01-2025 05:15;0.227;0
20-01-2025 05:20;0.237;0
20-01-2025 05:25;0.247;0
20-01-2025 05:30;0.256;0
20-01-2025 05:35;0.266;0
20-01-2025 05:40;0.276;0
20-01-2025 05:45;0.285;0
20-01-2025 05:50;0.294;0
20-01-2025 05:55;0.303;0
20-01-2025 06:00;0.312;0
20-01-2025 06:05;0.321;0
20-01-2025 06:10;0.330;0
20-01-2025 06:15;0.339;0
20-01-2025 06:20;0.348;0
